comuna,anio,casos
2,2004,86
2,2005,88
2,2006,68
2,2007,60
2,2008,110
2,2009,108
2,2010,63
2,2011,87
2,2012,66
2,2013,142
2,2014,105
2,2015,201
2,2016,274
2,2017,298
2,2018,369
2,2019,455
2,2020,373
2,2021,516
2,2022,530
2,2023,413
2.0,2003,115
2.0,2004,59
2.0,2005,20
2.0,2006,17
2.0,2007,13
2.0,2008,31
2.0,2009,62
2.0,2010,93
2.0,2011,28
2.0,2012,29
2.0,2013,20
2.0,2014,17
2.0,2015,21
2.0,2016,8
2.0,2017,16
2.0,2018,11
2.0,2019,12
2.0,2020,13
2.0,2021,13
2.0,2022,14
2.0,2023,11
3,2003,301
3,2004,260
3,2005,234
3,2006,304
3,2007,278
3,2008,399
3,2009,380
3,2010,281
3,2011,209
3,2012,236
3,2013,354
3,2014,346
3,2015,496
3,2016,601
3,2017,693
3,2018,888
3,2019,1173
3,2020,958
3,2021,1065
3,2022,1156
3,2023,784
3.0,2003,119
3.0,2004,52
3.0,2005,30
3.0,2006,36
3.0,2007,32
3.0,2008,59
3.0,2009,197
3.0,2010,172
3.0,2011,86
3.0,2012,49
3.0,2013,32
3.0,2014,21
3.0,2015,13
3.0,2016,13
3.0,2017,14
3.0,2018,17
3.0,2019,19
3.0,2020,13
3.0,2021,20
3.0,2022,13
3.0,2023,22
4,2003,1270
4,2004,799
4,2005,754
4,2006,815
4,2007,702
4,2008,749
4,2009,958
4,2010,591
4,2011,877
4,2012,798
4,2013,1018
4,2014,1016
4,2015,1160
4,2016,1373
4,2017,1727
4,2018,2457
4,2019,3453
4,2020,2300
4,2021,2530
4,2022,2977
4,2023,2254
4.0,2003,139
4.0,2004,80
4.0,2005,67
4.0,2006,81
4.0,2007,67
4.0,2008,114
4.0,2009,191
4.0,2010,158
4.0,2011,111
4.0,2012,91
4.0,2013,54
4.0,2014,45
4.0,2015,32
4.0,2016,26
4.0,2017,27
4.0,2018,39
4.0,2019,34
4.0,2020,28
4.0,2021,37
4.0,2022,32
4.0,2023,28
5,2003,1052
5,2004,962
5,2005,872
5,2006,724
5,2007,602
5,2008,577
5,2009,777
5,2010,487
5,2011,558
5,2012,994
5,2013,991
5,2014,1140
5,2015,1378
5,2016,1578
5,2017,1840
5,2018,2508
5,2019,3105
5,2020,2163
5,2021,2510
5,2022,2796
5,2023,1714
5.0,2003,119
5.0,2004,85
5.0,2005,48
5.0,2006,69
5.0,2007,49
5.0,2008,65
5.0,2009,159
5.0,2010,126
5.0,2011,103
5.0,2012,42
5.0,2013,45
5.0,2014,56
5.0,2015,46
5.0,2016,57
5.0,2017,32
5.0,2018,26
5.0,2019,29
5.0,2020,37
5.0,2021,17
5.0,2022,19
5.0,2023,20
50,2005,2
50,2009,1
50,2013,2
50,2014,2
50,2015,11
50,2016,14
50,2017,9
50,2018,1
50,2019,14
50,2020,12
50,2021,27
50,2022,22
50,2023,9
50.0,2011,5
50.0,2012,1
50.0,2014,1
50.0,2015,1
50.0,2016,3
50.0,2017,2
50.0,2019,3
50.0,2021,1
50.0,2022,1
50.0,2023,2
6,2003,336
6,2004,272
6,2005,230
6,2006,295
6,2007,201
6,2008,210
6,2009,275
6,2010,149
6,2011,151
6,2012,254
6,2013,277
6,2014,300
6,2015,474
6,2016,559
6,2017,617
6,2018,851
6,2019,940
6,2020,762
6,2021,949
6,2022,1034
6,2023,740
6.0,2003,115
6.0,2004,79
6.0,2005,47
6.0,2006,40
6.0,2007,56
6.0,2008,78
6.0,2009,199
6.0,2010,132
6.0,2011,96
6.0,2012,52
6.0,2013,48
6.0,2014,40
6.0,2015,23
6.0,2016,22
6.0,2017,28
6.0,2018,23
6.0,2019,23
6.0,2020,17
6.0,2021,18
6.0,2022,13
6.0,2023,18
60,2003,12
60,2004,16
60,2005,16
60,2006,31
60,2007,13
60,2008,37
60,2009,40
60,2010,11
60,2011,34
60,2012,41
60,2013,60
60,2014,146
60,2015,175
60,2016,325
60,2017,433
60,2018,448
60,2019,616
60,2020,518
60,2021,772
60,2022,808
60,2023,701
60.0,2003,23
60.0,2004,8
60.0,2005,4
60.0,2006,4
60.0,2007,8
60.0,2008,9
60.0,2009,27
60.0,2010,70
60.0,2011,72
60.0,2012,64
60.0,2013,52
60.0,2014,35
60.0,2015,24
60.0,2016,30
60.0,2017,39
60.0,2018,21
60.0,2019,39
60.0,2020,16
60.0,2021,30
60.0,2022,26
60.0,2023,13
7,2003,842
7,2004,690
7,2005,483
7,2006,360
7,2007,382
7,2008,403
7,2009,601
7,2010,436
7,2011,618
7,2012,1037
7,2013,1176
7,2014,1094
7,2015,1282
7,2016,1540
7,2017,1668
7,2018,2398
7,2019,2950
7,2020,2343
7,2021,2452
7,2022,2332
7,2023,1884
7.0,2003,113
7.0,2004,88
7.0,2005,41
7.0,2006,58
7.0,2007,46
7.0,2008,53
7.0,2009,134
7.0,2010,111
7.0,2011,100
7.0,2012,69
7.0,2013,71
7.0,2014,59
7.0,2015,45
7.0,2016,57
7.0,2017,70
7.0,2018,55
7.0,2019,37
7.0,2020,32
7.0,2021,24
7.0,2022,35
7.0,2023,22
70,2003,8
70,2004,18
70,2005,36
70,2006,8
70,2007,2
70,2008,4
70,2009,14
70,2010,4
70,2011,12
70,2012,13
70,2013,10
70,2014,15
70,2015,28
70,2016,44
70,2017,90
70,2018,113
70,2019,119
70,2020,145
70,2021,199
70,2022,214
70,2023,4
70.0,2003,1
70.0,2004,1
70.0,2005,2
70.0,2006,1
70.0,2007,2
70.0,2008,4
70.0,2009,13
70.0,2010,26
70.0,2011,46
70.0,2012,45
70.0,2013,29
70.0,2014,11
70.0,2015,14
70.0,2016,12
70.0,2017,22
70.0,2018,45
70.0,2019,36
70.0,2020,10
70.0,2021,11
70.0,2022,7
70.0,2023,5
8,2003,580
8,2004,387
8,2005,362
8,2006,276
8,2007,247
8,2008,287
8,2009,441
8,2010,211
8,2011,328
8,2012,429
8,2013,528
8,2014,439
8,2015,578
8,2016,714
8,2017,775
8,2018,1002
8,2019,1543
8,2020,1470
8,2021,1405
8,2022,1485
8,2023,1349
8.0,2003,94
8.0,2004,46
8.0,2005,37
8.0,2006,40
8.0,2007,45
8.0,2008,57
8.0,2009,118
8.0,2010,118
8.0,2011,124
8.0,2012,111
8.0,2013,58
8.0,2014,32
8.0,2015,22
8.0,2016,29
8.0,2017,21
8.0,2018,20
8.0,2019,33
8.0,2020,26
8.0,2021,23
8.0,2022,18
8.0,2023,22
80,2003,30
80,2004,26
80,2005,34
80,2006,6
80,2007,38
80,2008,32
80,2009,79
80,2010,60
80,2011,16
80,2012,61
80,2013,80
80,2014,104
80,2015,165
80,2016,237
80,2017,309
80,2018,305
80,2019,381
80,2020,357
80,2021,394
80,2022,502
80,2023,451
80.0,2003,23
80.0,2004,4
80.0,2005,7
80.0,2006,9
80.0,2007,4
80.0,2008,3
80.0,2009,59
80.0,2010,45
80.0,2011,109
80.0,2012,77
80.0,2013,41
80.0,2014,8
80.0,2015,14
80.0,2016,15
80.0,2017,17
80.0,2018,15
80.0,2019,9
80.0,2020,10
80.0,2021,4
80.0,2022,6
80.0,2023,9
9,2003,720
9,2004,550
9,2005,412
9,2006,320
9,2007,288
9,2008,368
9,2009,342
9,2010,258
9,2011,447
9,2012,734
9,2013,617
9,2014,762
9,2015,786
9,2016,971
9,2017,1105
9,2018,1497
9,2019,2015
9,2020,1701
9,2021,2111
9,2022,2260
9,2023,1503
9.0,2003,85
9.0,2004,45
9.0,2005,34
9.0,2006,40
9.0,2007,37
9.0,2008,34
9.0,2009,57
