seguridad.nombre_barrio,promedio_robos,casos_totales,nivel_geo,seguridad.codigo_barrio,seguridad.codigo_comuna,zona_clave,municipio_x,promedio_robos_municipio,casos_municipio,departamento,sector,comuna,municipio_y,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local,indice_riesgo,nivel_riesgo,alerta
LAS PALMAS SE,1.9,19.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04464449191333537,🥈 Plata,🟠 Alerta Media
LAS PLAYAS,1.875,30.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.0440570643881599,🥈 Plata,🟠 Alerta Media
LAS PLAYAS SC,2.0,4.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
LAS VIOLETAS,1.5294117647058822,26.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.035936742716616704,🥇 Oro,🟢 Segura
LAURELES,2.5106382978723403,118.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.058992721677195666,🥉 Bronce,🚨 Alerta Roja
LLANADITAS,1.0,1.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
LOPEZ DE MESA,1.7857142857142858,50.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04195910894110467,🥇 Oro,🟢 Segura
LORENA,2.2857142857142856,80.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.053707659444613975,🥉 Bronce,🚨 Alerta Roja
LORETO,1.1538461538461537,15.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.027112039623483016,💎 Diamante,🟢 Segura
LOS ALCAZARES,1.6666666666666667,30.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03916183501169769,🥇 Oro,🟢 Segura
LOS ALPES,2.3333333333333335,56.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.054826569016376774,🥉 Bronce,🚨 Alerta Roja
LOS ANGELES,2.1578947368421053,41.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.0507042705940928,🥉 Bronce,🚨 Alerta Roja
LOS BALSOS NO1,1.2857142857142858,9.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.030210558437595365,💎 Diamante,🟢 Segura
LOS BALSOS NO2,2.111111111111111,38.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04960499101481708,🥉 Bronce,🚨 Alerta Roja
