seguridad.nombre_barrio,promedio_robos,casos_totales,nivel_geo,seguridad.codigo_barrio,seguridad.codigo_comuna,zona_clave,municipio_x,promedio_robos_municipio,casos_municipio,departamento,sector,comuna,municipio_y,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local,indice_riesgo,nivel_riesgo,alerta
VILLA CARLOTA,2.6363636363636362,116.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.061946902654867256,🧱 Cobre,🚨 Alerta Roja
VILLA DEL SOCORRO,1.4,7.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03289594140982606,💎 Diamante,🟢 Segura
VILLA FLORA,2.0,20.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
VILLA GUADALUPE,1.8,9.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.042294781812633506,🥇 Oro,🟢 Segura
VILLA HERMOSA,1.5294117647058822,26.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.035936742716616704,🥇 Oro,🟢 Segura
VILLA LILLIAM,1.0,1.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
VILLA NIZA,1.75,7.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04111992676228258,🥇 Oro,🟢 Segura
VILLA NUEVA,3.5076923076923077,228.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.08242060045538838,🧱 Cobre,🚨 Alerta Roja
VILLA TURBAY,3.0,3.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.07049130302105584,🧱 Cobre,🚨 Alerta Roja
VILLATINA,1.7058823529411764,29.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.0400832899531494,🥇 Oro,🟢 Segura
,1.5625,25.0,seguridad.codigo_barrio,0101,,SIN_INFO,,,,,,,,,,,,,,0.036714220323466586,🥇 Oro,🟢 Segura
,1.2,6.0,seguridad.codigo_barrio,0102,,SIN_INFO,,,,,,,,,,,,,,0.028196521208422337,💎 Diamante,🟢 Segura
,1.6666666666666667,20.0,seguridad.codigo_barrio,0103,,SIN_INFO,,,,,,,,,,,,,,0.03916183501169769,🥇 Oro,🟢 Segura
,2.0,6.0,seguridad.codigo_barrio,0104,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,3.6,18.0,seguridad.codigo_barrio,0105,,SIN_INFO,,,,,,,,,,,,,,0.08458956362526701,🧱 Cobre,🚨 Alerta Roja
,1.8,9.0,seguridad.codigo_barrio,0106,,SIN_INFO,,,,,,,,,,,,,,0.042294781812633506,🥇 Oro,🟢 Segura
,1.4,7.0,seguridad.codigo_barrio,0107,,SIN_INFO,,,,,,,,,,,,,,0.03289594140982606,💎 Diamante,🟢 Segura
,1.0,1.0,seguridad.codigo_barrio,0108,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.6666666666666667,5.0,seguridad.codigo_barrio,0111,,SIN_INFO,,,,,,,,,,,,,,0.03916183501169769,🥇 Oro,🟢 Segura
,1.0,1.0,seguridad.codigo_barrio,0112,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,3.5,7.0,seguridad.codigo_barrio,0201,,SIN_INFO,,,,,,,,,,,,,,0.08223985352456516,🧱 Cobre,🚨 Alerta Roja
,1.3333333333333333,4.0,seguridad.codigo_barrio,0202,,SIN_INFO,,,,,,,,,,,,,,0.03132946800935815,💎 Diamante,🟢 Segura
,1.0,1.0,seguridad.codigo_barrio,0203,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.0,3.0,seguridad.codigo_barrio,0204,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.8,9.0,seguridad.codigo_barrio,0205,,SIN_INFO,,,,,,,,,,,,,,0.042294781812633506,🥇 Oro,🟢 Segura
,1.375,11.0,seguridad.codigo_barrio,0206,,SIN_INFO,,,,,,,,,,,,,,0.03230851388465059,💎 Diamante,🟢 Segura
,1.4,7.0,seguridad.codigo_barrio,0207,,SIN_INFO,,,,,,,,,,,,,,0.03289594140982606,💎 Diamante,🟢 Segura
,1.75,7.0,seguridad.codigo_barrio,0208,,SIN_INFO,,,,,,,,,,,,,,0.04111992676228258,🥇 Oro,🟢 Segura
,1.2,6.0,seguridad.codigo_barrio,0209,,SIN_INFO,,,,,,,,,,,,,,0.028196521208422337,💎 Diamante,🟢 Segura
,2.2222222222222223,20.0,seguridad.codigo_barrio,0210,,SIN_INFO,,,,,,,,,,,,,,0.05221578001559692,🥉 Bronce,🚨 Alerta Roja
,1.0,1.0,seguridad.codigo_barrio,0211,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.875,15.0,seguridad.codigo_barrio,0301,,SIN_INFO,,,,,,,,,,,,,,0.0440570643881599,🥈 Plata,🟠 Alerta Media
,1.75,35.0,seguridad.codigo_barrio,0302,,SIN_INFO,,,,,,,,,,,,,,0.04111992676228258,🥇 Oro,🟢 Segura
,1.25,15.0,seguridad.codigo_barrio,0303,,SIN_INFO,,,,,,,,,,,,,,0.029371376258773268,💎 Diamante,🟢 Segura
,1.2222222222222223,11.0,seguridad.codigo_barrio,0304,,SIN_INFO,,,,,,,,,,,,,,0.02871867900857831,💎 Diamante,🟢 Segura
,1.0,7.0,seguridad.codigo_barrio,0305,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.0,8.0,seguridad.codigo_barrio,0306,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.826086956521739,42.0,seguridad.codigo_barrio,0307,,SIN_INFO,,,,,,,,,,,,,,0.04290774966499051,🥇 Oro,🟢 Segura
,1.9545454545454546,43.0,seguridad.codigo_barrio,0308,,SIN_INFO,,,,,,,,,,,,,,0.045926151968263655,🥈 Plata,🟠 Alerta Media
,2.5,15.0,seguridad.codigo_barrio,0309,,SIN_INFO,,,,,,,,,,,,,,0.058742752517546536,🥉 Bronce,🚨 Alerta Roja
,2.0,6.0,seguridad.codigo_barrio,0310,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,2.0,6.0,seguridad.codigo_barrio,0311,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.0,2.0,seguridad.codigo_barrio,0313,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,2.25,45.0,seguridad.codigo_barrio,0401,,SIN_INFO,,,,,,,,,,,,,,0.052868477265791886,🥉 Bronce,🚨 Alerta Roja
,1.9230769230769231,25.0,seguridad.codigo_barrio,0402,,SIN_INFO,,,,,,,,,,,,,,0.04518673270580503,🥈 Plata,🟠 Alerta Media
,1.0,6.0,seguridad.codigo_barrio,0403,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.4,7.0,seguridad.codigo_barrio,0404,,SIN_INFO,,,,,,,,,,,,,,0.03289594140982606,💎 Diamante,🟢 Segura
,1.75,63.0,seguridad.codigo_barrio,0405,,SIN_INFO,,,,,,,,,,,,,,0.04111992676228258,🥇 Oro,🟢 Segura
,3.3620689655172415,195.0,seguridad.codigo_barrio,0407,,SIN_INFO,,,,,,,,,,,,,,0.0789988740753212,🧱 Cobre,🚨 Alerta Roja
,2.0526315789473686,78.0,seguridad.codigo_barrio,0408,,SIN_INFO,,,,,,,,,,,,,,0.04823089154072242,🥉 Bronce,🚨 Alerta Roja
,1.9428571428571428,68.0,seguridad.codigo_barrio,0409,,SIN_INFO,,,,,,,,,,,,,,0.04565151052792188,🥈 Plata,🟠 Alerta Media
,2.0,62.0,seguridad.codigo_barrio,0410,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,3.0,30.0,seguridad.codigo_barrio,0411,,SIN_INFO,,,,,,,,,,,,,,0.07049130302105584,🧱 Cobre,🚨 Alerta Roja
,2.75,33.0,seguridad.codigo_barrio,0412,,SIN_INFO,,,,,,,,,,,,,,0.06461702776930119,🧱 Cobre,🚨 Alerta Roja
,2.074074074074074,56.0,seguridad.codigo_barrio,0413,,SIN_INFO,,,,,,,,,,,,,,0.048734728014557124,🥉 Bronce,🚨 Alerta Roja
,1.8571428571428572,26.0,seguridad.codigo_barrio,0414,,SIN_INFO,,,,,,,,,,,,,,0.043637473298748855,🥇 Oro,🟢 Segura
,1.85,37.0,seguridad.codigo_barrio,0415,,SIN_INFO,,,,,,,,,,,,,,0.04346963686298444,🥇 Oro,🟢 Segura
,1.588235294117647,27.0,seguridad.codigo_barrio,0501,,SIN_INFO,,,,,,,,,,,,,,0.03731892512879427,🥇 Oro,🟢 Segura
,2.1875,35.0,seguridad.codigo_barrio,0502,,SIN_INFO,,,,,,,,,,,,,,0.05139990845285322,🥉 Bronce,🚨 Alerta Roja
,2.5,25.0,seguridad.codigo_barrio,0503,,SIN_INFO,,,,,,,,,,,,,,0.058742752517546536,🥉 Bronce,🚨 Alerta Roja
,1.4285714285714286,10.0,seguridad.codigo_barrio,0504,,SIN_INFO,,,,,,,,,,,,,,0.033567287152883735,🥇 Oro,🟢 Segura
,2.0,32.0,seguridad.codigo_barrio,0505,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,3.1041666666666665,149.0,seguridad.codigo_barrio,0507,,SIN_INFO,,,,,,,,,,,,,,0.07293891770928694,🧱 Cobre,🚨 Alerta Roja
,2.2,33.0,seguridad.codigo_barrio,0508,,SIN_INFO,,,,,,,,,,,,,,0.05169362221544096,🥉 Bronce,🚨 Alerta Roja
,2.5135135135135136,93.0,seguridad.codigo_barrio,0509,,SIN_INFO,,,,,,,,,,,,,,0.059060280909533275,🥉 Bronce,🚨 Alerta Roja
,2.125,102.0,seguridad.codigo_barrio,0510,,SIN_INFO,,,,,,,,,,,,,,0.04993133963991456,🥉 Bronce,🚨 Alerta Roja
,2.5538461538461537,166.0,seguridad.codigo_barrio,0511,,SIN_INFO,,,,,,,,,,,,,,0.06000798103330907,🥉 Bronce,🚨 Alerta Roja
,2.0384615384615383,53.0,seguridad.codigo_barrio,0513,,SIN_INFO,,,,,,,,,,,,,,0.047897936668153326,🥉 Bronce,🚨 Alerta Roja
,2.0,48.0,seguridad.codigo_barrio,0514,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,3.4875,279.0,seguridad.codigo_barrio,0517,,SIN_INFO,,,,,,,,,,,,,,0.08194613976197741,🧱 Cobre,🚨 Alerta Roja
,2.0714285714285716,87.0,seguridad.codigo_barrio,0519,,SIN_INFO,,,,,,,,,,,,,,0.04867256637168142,🥉 Bronce,🚨 Alerta Roja
,2.5714285714285716,18.0,seguridad.codigo_barrio,0601,,SIN_INFO,,,,,,,,,,,,,,0.06042111687519073,🥉 Bronce,🚨 Alerta Roja
,1.9,19.0,seguridad.codigo_barrio,0602,,SIN_INFO,,,,,,,,,,,,,,0.04464449191333537,🥈 Plata,🟠 Alerta Media
,1.5,12.0,seguridad.codigo_barrio,0603,,SIN_INFO,,,,,,,,,,,,,,0.03524565151052792,🥇 Oro,🟢 Segura
,1.9166666666666667,46.0,seguridad.codigo_barrio,0604,,SIN_INFO,,,,,,,,,,,,,,0.04503611026345235,🥈 Plata,🟠 Alerta Media
,2.0,32.0,seguridad.codigo_barrio,0605,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,2.066666666666667,31.0,seguridad.codigo_barrio,0606,,SIN_INFO,,,,,,,,,,,,,,0.04856067541450514,🥉 Bronce,🚨 Alerta Roja
,2.0,48.0,seguridad.codigo_barrio,0607,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,2.0,36.0,seguridad.codigo_barrio,0608,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,2.0,2.0,seguridad.codigo_barrio,0609,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.0,1.0,seguridad.codigo_barrio,0610,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.0,1.0,seguridad.codigo_barrio,0611,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.0,1.0,seguridad.codigo_barrio,0612,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.625,13.0,seguridad.codigo_barrio,0702,,SIN_INFO,,,,,,,,,,,,,,0.03818278913640525,🥇 Oro,🟢 Segura
,1.9565217391304348,45.0,seguridad.codigo_barrio,0703,,SIN_INFO,,,,,,,,,,,,,,0.045972588926775554,🥈 Plata,🟠 Alerta Media
,1.0,1.0,seguridad.codigo_barrio,0705,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.6071428571428572,45.0,seguridad.codigo_barrio,0706,,SIN_INFO,,,,,,,,,,,,,,0.037763198046994205,🥇 Oro,🟢 Segura
,1.3571428571428572,19.0,seguridad.codigo_barrio,0707,,SIN_INFO,,,,,,,,,,,,,,0.03188892279523955,💎 Diamante,🟢 Segura
,2.0,50.0,seguridad.codigo_barrio,0708,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.6666666666666667,45.0,seguridad.codigo_barrio,0709,,SIN_INFO,,,,,,,,,,,,,,0.03916183501169769,🥇 Oro,🟢 Segura
,1.7857142857142858,50.0,seguridad.codigo_barrio,0710,,SIN_INFO,,,,,,,,,,,,,,0.04195910894110467,🥇 Oro,🟢 Segura
,2.0,52.0,seguridad.codigo_barrio,0711,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,2.2857142857142856,16.0,seguridad.codigo_barrio,0712,,SIN_INFO,,,,,,,,,,,,,,0.053707659444613975,🥉 Bronce,🚨 Alerta Roja
,1.7777777777777777,16.0,seguridad.codigo_barrio,0713,,SIN_INFO,,,,,,,,,,,,,,0.041772624012477534,🥇 Oro,🟢 Segura
,1.9285714285714286,27.0,seguridad.codigo_barrio,0714,,SIN_INFO,,,,,,,,,,,,,,0.04531583765639304,🥈 Plata,🟠 Alerta Media
,2.0,20.0,seguridad.codigo_barrio,0715,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.5555555555555556,28.0,seguridad.codigo_barrio,0716,,SIN_INFO,,,,,,,,,,,,,,0.03655104601091785,🥇 Oro,🟢 Segura
,2.5121951219512195,103.0,seguridad.codigo_barrio,0717,,SIN_INFO,,,,,,,,,,,,,,0.05902930252982725,🥉 Bronce,🚨 Alerta Roja
,2.0,32.0,seguridad.codigo_barrio,0718,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.5,6.0,seguridad.codigo_barrio,0719,,SIN_INFO,,,,,,,,,,,,,,0.03524565151052792,🥇 Oro,🟢 Segura
,3.3333333333333335,20.0,seguridad.codigo_barrio,0720,,SIN_INFO,,,,,,,,,,,,,,0.07832367002339538,🧱 Cobre,🚨 Alerta Roja
,1.8333333333333333,22.0,seguridad.codigo_barrio,0723,,SIN_INFO,,,,,,,,,,,,,,0.04307801851286746,🥇 Oro,🟢 Segura
,2.0,10.0,seguridad.codigo_barrio,0724,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.25,10.0,seguridad.codigo_barrio,0725,,SIN_INFO,,,,,,,,,,,,,,0.029371376258773268,💎 Diamante,🟢 Segura
,1.5294117647058822,26.0,seguridad.codigo_barrio,0801,,SIN_INFO,,,,,,,,,,,,,,0.035936742716616704,🥇 Oro,🟢 Segura
,1.8333333333333333,22.0,seguridad.codigo_barrio,0802,,SIN_INFO,,,,,,,,,,,,,,0.04307801851286746,🥇 Oro,🟢 Segura
,1.7083333333333333,41.0,seguridad.codigo_barrio,0803,,SIN_INFO,,,,,,,,,,,,,,0.04014088088699013,🥇 Oro,🟢 Segura
,2.0,12.0,seguridad.codigo_barrio,0804,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.0,1.0,seguridad.codigo_barrio,0806,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.7,17.0,seguridad.codigo_barrio,0807,,SIN_INFO,,,,,,,,,,,,,,0.039945071711931644,🥇 Oro,🟢 Segura
,1.6785714285714286,47.0,seguridad.codigo_barrio,0808,,SIN_INFO,,,,,,,,,,,,,,0.03944156240463839,🥇 Oro,🟢 Segura
,2.2857142857142856,32.0,seguridad.codigo_barrio,0809,,SIN_INFO,,,,,,,,,,,,,,0.053707659444613975,🥉 Bronce,🚨 Alerta Roja
,1.4,7.0,seguridad.codigo_barrio,0810,,SIN_INFO,,,,,,,,,,,,,,0.03289594140982606,💎 Diamante,🟢 Segura
,1.0,2.0,seguridad.codigo_barrio,0811,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,5.5,11.0,seguridad.codigo_barrio,0812,,SIN_INFO,,,,,,,,,,,,,,0.12923405553860237,🧱 Cobre,🚨 Alerta Roja
,1.7058823529411764,29.0,seguridad.codigo_barrio,0813,,SIN_INFO,,,,,,,,,,,,,,0.0400832899531494,🥇 Oro,🟢 Segura
,1.5,3.0,seguridad.codigo_barrio,0814,,SIN_INFO,,,,,,,,,,,,,,0.03524565151052792,🥇 Oro,🟢 Segura
,1.5,3.0,seguridad.codigo_barrio,0815,,SIN_INFO,,,,,,,,,,,,,,0.03524565151052792,🥇 Oro,🟢 Segura
,3.0,3.0,seguridad.codigo_barrio,0816,,SIN_INFO,,,,,,,,,,,,,,0.07049130302105584,🧱 Cobre,🚨 Alerta Roja
,1.0,1.0,seguridad.codigo_barrio,0817,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.0,1.0,seguridad.codigo_barrio,0819,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,2.0,2.0,seguridad.codigo_barrio,0901,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.3333333333333333,4.0,seguridad.codigo_barrio,0902,,SIN_INFO,,,,,,,,,,,,,,0.03132946800935815,💎 Diamante,🟢 Segura
,1.1666666666666667,7.0,seguridad.codigo_barrio,0903,,SIN_INFO,,,,,,,,,,,,,,0.027413284508188387,💎 Diamante,🟢 Segura
,2.0,4.0,seguridad.codigo_barrio,0904,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.875,15.0,seguridad.codigo_barrio,0905,,SIN_INFO,,,,,,,,,,,,,,0.0440570643881599,🥈 Plata,🟠 Alerta Media
,1.588235294117647,54.0,seguridad.codigo_barrio,0906,,SIN_INFO,,,,,,,,,,,,,,0.03731892512879427,🥇 Oro,🟢 Segura
,1.8620689655172413,54.0,seguridad.codigo_barrio,0907,,SIN_INFO,,,,,,,,,,,,,,0.04375322256479328,🥇 Oro,🟢 Segura
,1.5833333333333333,19.0,seguridad.codigo_barrio,0908,,SIN_INFO,,,,,,,,,,,,,,0.0372037432611128,🥇 Oro,🟢 Segura
,1.2857142857142858,9.0,seguridad.codigo_barrio,0909,,SIN_INFO,,,,,,,,,,,,,,0.030210558437595365,💎 Diamante,🟢 Segura
,1.4,14.0,seguridad.codigo_barrio,0910,,SIN_INFO,,,,,,,,,,,,,,0.03289594140982606,💎 Diamante,🟢 Segura
,2.0,24.0,seguridad.codigo_barrio,0911,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.5,33.0,seguridad.codigo_barrio,0912,,SIN_INFO,,,,,,,,,,,,,,0.03524565151052792,🥇 Oro,🟢 Segura
,1.1538461538461537,15.0,seguridad.codigo_barrio,0913,,SIN_INFO,,,,,,,,,,,,,,0.027112039623483016,💎 Diamante,🟢 Segura
,2.0,10.0,seguridad.codigo_barrio,0914,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,1.0,8.0,seguridad.codigo_barrio,0915,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,1.0,1.0,seguridad.codigo_barrio,0916,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
,2.0,2.0,seguridad.codigo_barrio,0917,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,4.258426966292135,379.0,seguridad.codigo_barrio,1001,,SIN_INFO,,,,,,,,,,,,,,0.10006068855797816,🧱 Cobre,🚨 Alerta Roja
,2.7333333333333334,164.0,seguridad.codigo_barrio,1003,,SIN_INFO,,,,,,,,,,,,,,0.06422540941918421,🧱 Cobre,🚨 Alerta Roja
,2.5283018867924527,134.0,seguridad.codigo_barrio,1004,,SIN_INFO,,,,,,,,,,,,,,0.05940776481019801,🥉 Bronce,🚨 Alerta Roja
,2.627450980392157,134.0,seguridad.codigo_barrio,1005,,SIN_INFO,,,,,,,,,,,,,,0.061737481077264594,🧱 Cobre,🚨 Alerta Roja
,4.395348837209302,378.0,seguridad.codigo_barrio,1006,,SIN_INFO,,,,,,,,,,,,,,0.10327795558898879,🧱 Cobre,🚨 Alerta Roja
,7.333333333333333,550.0,seguridad.codigo_barrio,1007,,SIN_INFO,,,,,,,,,,,,,,0.17231207405146984,🧱 Cobre,🚨 Alerta Roja
,2.125,85.0,seguridad.codigo_barrio,1008,,SIN_INFO,,,,,,,,,,,,,,0.04993133963991456,🥉 Bronce,🚨 Alerta Roja
,4.523076923076923,294.0,seguridad.codigo_barrio,1011,,SIN_INFO,,,,,,,,,,,,,,0.10627919532405343,🧱 Cobre,🚨 Alerta Roja
,4.0476190476190474,255.0,seguridad.codigo_barrio,1012,,SIN_INFO,,,,,,,,,,,,,,0.09510731359983725,🧱 Cobre,🚨 Alerta Roja
,8.683544303797468,686.0,seguridad.codigo_barrio,1013,,SIN_INFO,,,,,,,,,,,,,,0.20403811760525026,🧱 Cobre,🚨 Alerta Roja
,3.1538461538461537,82.0,seguridad.codigo_barrio,1014,,SIN_INFO,,,,,,,,,,,,,,0.07410624163752025,🧱 Cobre,🚨 Alerta Roja
,2.25,81.0,seguridad.codigo_barrio,1015,,SIN_INFO,,,,,,,,,,,,,,0.052868477265791886,🥉 Bronce,🚨 Alerta Roja
,2.8833333333333333,173.0,seguridad.codigo_barrio,1016,,SIN_INFO,,,,,,,,,,,,,,0.067749974570237,🧱 Cobre,🚨 Alerta Roja
,2.1578947368421053,41.0,seguridad.codigo_barrio,1017,,SIN_INFO,,,,,,,,,,,,,,0.0507042705940928,🥉 Bronce,🚨 Alerta Roja
,3.5076923076923077,228.0,seguridad.codigo_barrio,1018,,SIN_INFO,,,,,,,,,,,,,,0.08242060045538838,🧱 Cobre,🚨 Alerta Roja
,22.42056074766355,2399.0,seguridad.codigo_barrio,1019,,SIN_INFO,,,,,,,,,,,,,,0.5268181805218473,🧱 Cobre,🚨 Alerta Roja
,4.0,208.0,seguridad.codigo_barrio,1020,,SIN_INFO,,,,,,,,,,,,,,0.09398840402807446,🧱 Cobre,🚨 Alerta Roja
,2.5849056603773586,137.0,seguridad.codigo_barrio,1101,,SIN_INFO,,,,,,,,,,,,,,0.06073778939550095,🧱 Cobre,🚨 Alerta Roja
,2.2444444444444445,101.0,seguridad.codigo_barrio,1102,,SIN_INFO,,,,,,,,,,,,,,0.052737937815752894,🥉 Bronce,🚨 Alerta Roja
,3.1454545454545455,173.0,seguridad.codigo_barrio,1103,,SIN_INFO,,,,,,,,,,,,,,0.07390906316753128,🧱 Cobre,🚨 Alerta Roja
,2.5757575757575757,85.0,seguridad.codigo_barrio,1104,,SIN_INFO,,,,,,,,,,,,,,0.06052283592716916,🥉 Bronce,🚨 Alerta Roja
,2.8793103448275863,167.0,seguridad.codigo_barrio,1105,,SIN_INFO,,,,,,,,,,,,,,0.0676554460029674,🧱 Cobre,🚨 Alerta Roja
,3.2285714285714286,113.0,seguridad.codigo_barrio,1107,,SIN_INFO,,,,,,,,,,,,,,0.07586206896551724,🧱 Cobre,🚨 Alerta Roja
,2.5106382978723403,118.0,seguridad.codigo_barrio,1108,,SIN_INFO,,,,,,,,,,,,,,0.058992721677195666,🥉 Bronce,🚨 Alerta Roja
,2.5161290322580645,78.0,seguridad.codigo_barrio,1109,,SIN_INFO,,,,,,,,,,,,,,0.05912173801765974,🥉 Bronce,🚨 Alerta Roja
,1.9545454545454546,43.0,seguridad.codigo_barrio,1110,,SIN_INFO,,,,,,,,,,,,,,0.045926151968263655,🥈 Plata,🟠 Alerta Media
,2.2857142857142856,80.0,seguridad.codigo_barrio,1111,,SIN_INFO,,,,,,,,,,,,,,0.053707659444613975,🥉 Bronce,🚨 Alerta Roja
,2.3,46.0,seguridad.codigo_barrio,1112,,SIN_INFO,,,,,,,,,,,,,,0.05404333231614281,🥉 Bronce,🚨 Alerta Roja
,2.6923076923076925,70.0,seguridad.codigo_barrio,1113,,SIN_INFO,,,,,,,,,,,,,,0.06326142578812705,🧱 Cobre,🚨 Alerta Roja
,2.0285714285714285,71.0,seguridad.codigo_barrio,1114,,SIN_INFO,,,,,,,,,,,,,,0.0476655477570949,🥈 Plata,🟠 Alerta Media
,1.5172413793103448,44.0,seguridad.codigo_barrio,1115,,SIN_INFO,,,,,,,,,,,,,,0.035650773941683415,🥇 Oro,🟢 Segura
,2.5142857142857142,88.0,seguridad.codigo_barrio,1117,,SIN_INFO,,,,,,,,,,,,,,0.05907842538907537,🥉 Bronce,🚨 Alerta Roja
,2.5714285714285716,18.0,seguridad.codigo_barrio,1201,,SIN_INFO,,,,,,,,,,,,,,0.06042111687519073,🥉 Bronce,🚨 Alerta Roja
,2.558139534883721,110.0,seguridad.codigo_barrio,1202,,SIN_INFO,,,,,,,,,,,,,,0.060108863041210416,🥉 Bronce,🚨 Alerta Roja
,2.0,52.0,seguridad.codigo_barrio,1203,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
,2.1707317073170733,89.0,seguridad.codigo_barrio,1204,,SIN_INFO,,,,,,,,,,,,,,0.05100590218596724,🥉 Bronce,🚨 Alerta Roja
,2.3513513513513513,87.0,seguridad.codigo_barrio,1205,,SIN_INFO,,,,,,,,,,,,,,0.05524994020569242,🥉 Bronce,🚨 Alerta Roja
,1.7272727272727273,19.0,seguridad.codigo_barrio,1206,,SIN_INFO,,,,,,,,,,,,,,0.04058590173939579,🥇 Oro,🟢 Segura
,2.5,10.0,seguridad.codigo_barrio,1207,,SIN_INFO,,,,,,,,,,,,,,0.058742752517546536,🥉 Bronce,🚨 Alerta Roja
,2.5555555555555554,23.0,seguridad.codigo_barrio,1208,,SIN_INFO,,,,,,,,,,,,,,0.060048147017936454,🥉 Bronce,🚨 Alerta Roja
